Unnamed: 0,tissue,cell_type,mass,groups,for_final_table,extrapolate,density,err,mean_volume_fl,mean_volume_err,child_10y,tot_child_10y,tot_mass_child_10y,woman,tot_woman,tot_mass_woman,man,tot_man,tot_mass_man,mass_err
123,SI,Plasma cells,12.6466521064311,barrier epithelial,GI,human,12675478.6492092,2.12148462607167,1436.75504,1.96712104818603,369.0,4677251621.5582,7.19046937946545,601.0,7617962668.17473,11.7113064960941,649.0,8226385643.33678,12.6466521064311,2.75012328797402
126,Skin,Plasma cells,0.0546369656556017,barrier epithelial,Skin,human,10769.7624799599,2.02951273937878,1436.75504,1.96712104818603,820.0,8831205.2335671,0.0135764581326041,2300.0,24770453.7039077,0.0380803093963284,3300.0,35540216.1838676,0.0546369656556017,2.66217678465312
128,Spleen,Plasma cells,1.46317558994059,lymphatic system,Lymph system,human,6345103.07047832,1.29724600229947,1436.75504,1.96712104818603,80.0,507608245.638266,0.78036031463498,130.0,824863399.162182,1.26808551128184,150.0,951765460.571749,1.46317558994059,2.06451769017368
129,Stomach,Plasma cells,0.256897348376638,barrier epithelial,GI,extrapolation,1114042.74728813,11.2409077341945,1436.75504,1.96712104818603,84.0,93579590.7722032,0.143862515090917,141.0,157080027.367627,0.24148350747404,150.0,167106412.09322,0.256897348376638,12.3341618564065
131,Thymus,Plasma cells,0.0767764720542912,lymphatic system,Lymph system,extrapolation,2497075.36088658,3.15346768110233,1436.75504,1.96712104818603,40.0,99883014.4354631,0.153552944108582,25.0,62426884.0221644,0.095970590067864,20.0,49941507.2177315,0.0767764720542912,3.79228672037474
134,Tonsils,Plasma cells,0.0115164708081437,lymphatic system,Lymph system,extrapolation,2497075.36088658,3.15346768110233,1436.75504,1.96712104818603,3.0,7491226.08265973,0.0115164708081437,3.0,7491226.08265973,0.0115164708081437,3.0,7491226.08265973,0.0115164708081437,3.79228672037474
135,Trachea,Plasma cells,0.0171264898917759,barrier epithelial,Lungs,extrapolation,1114042.74728813,11.2409077341945,1436.75504,1.96712104818603,4.5,5013192.3627966,0.00770692045129915,8.0,8912341.97830507,0.0137011919134207,10.0,11140427.4728813,0.0171264898917759,12.3341618564065
140,Yellow marrow,Plasma cells,0.132462381109633,adipose tissue,Others,extrapolation,34743.5642699169,2.04868973826453,1436.75504,1.96712104818603,630.0,21888445.4900476,0.0336497177818826,1800.0,62538415.6858504,0.0961420508053788,2480.0,86164039.3893938,0.132462381109633,2.68039437579861
141,Adipose tissue,T cells,0.26712528461448,adipose tissue,Others,human,86371.2292476367,1.68094423801266,199.33984553515,1.04332784880751,7500.0,647784219.357276,0.138168250662662,19000.0,1641053355.7051,0.350026235012078,14500.0,1252382824.09073,0.26712528461448,1.68385334660037
142,Adrenal glands,T cells,0.007673701732213,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,7.0,17988585.8811321,0.0038368508661065,13.0,33407373.7792453,0.00712558017991207,14.0,35977171.7622642,0.007673701732213,1.9534466276004
143,Blood,T cells,1.68107346904063,blood,Blood,human,1432999.73316714,1.0000389425916,199.33984553515,1.04332784880751,2616.0,3748727301.96525,0.799579671820054,4251.0,6091681865.69353,1.29931696670759,5500.0,7881498532.4193,1.68107346904063,1.04332786745839
144,Brain,T cells,0.030598819330971,CNS,Others,human,98937.0078896323,1.14877579529903,199.33984553515,1.04332784880751,1300.0,128618110.256522,0.0274334242277671,1300.0,128618110.256522,0.0274334242277671,1450.0,143458661.439967,0.030598819330971,1.15608296576434
145,Breasts,T cells,0.0137030388075232,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,15.0,38546969.7452831,0.00822182328451393,500.0,1284898991.50943,0.274060776150464,25.0,64244949.5754718,0.0137030388075232,1.9534466276004
146,Bronchial tree,T cells,0.0656823384961262,barrier epithelial,Lungs,extrapolation,10264775.533745,1.54300632953774,199.33984553515,1.04332784880751,13.15,134981798.268747,0.0287907583741353,24.66,253129364.662153,0.0539908822438157,30.0,307943266.012351,0.0656823384961262,1.54620212269627
147,Cartilage ,T cells,0.03039435791129,connective,Others,extrapolation,129545.518321461,1.40615666376879,199.33984553515,1.04332784880751,820.0,106227325.023598,0.0226576122611434,900.0,116590966.489315,0.0248681110183282,1100.0,142500070.153607,0.03039435791129,1.40985814203483
148,Colon,T cells,0.524643244753628,barrier epithelial,GI,human,6647899.81845638,1.41875120916425,199.33984553515,1.04332784880751,210.0,1396058961.87584,0.297770490265572,360.0,2393243934.6443,0.510463697598124,370.0,2459722932.82886,0.524643244753628,1.42239121399523
149,Connective tissue,T cells,0.0442099751436945,connective,Others,extrapolation,129545.518321461,1.40615666376879,199.33984553515,1.04332784880751,701.37,90859340.1851234,0.0193797189165831,1315.07,170361424.779004,0.0363370075076365,1600.0,207272829.314338,0.0442099751436945,1.40985814203483
150,Epididymes,T cells,0.00931806638911579,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,1.6,4111676.77283019,0.000876994483681486,0.0,0.0,0.0,17.0,43686565.7113208,0.00931806638911579,1.9534466276004
151,Esophagus,T cells,0.0875764513281682,barrier epithelial,GI,extrapolation,10264775.533745,1.54300632953774,199.33984553515,1.04332784880751,18.0,184765959.607411,0.0394094030976757,35.0,359267143.681076,0.0766293949121472,40.0,410591021.349801,0.0875764513281682,1.54620212269627
152,Eyes ,T cells,0.000316539510320389,CNS,Others,extrapolation,98937.0078896323,1.14877579529903,199.33984553515,1.04332784880751,12.0,1187244.09467559,0.000253231608256311,15.0,1484055.11834448,0.000316539510320389,15.0,1484055.11834448,0.000316539510320389,1.15608296576434
153,Fallopian tubes,T cells,0.0,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,0.0,0.0,0.0,2.1,5396575.76433963,0.00115105525983195,0.0,0.0,0.0,1.9534466276004
154,Gallbladder,T cells,0.00548121552300929,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,4.4,11307111.125283,0.00241173483012409,8.0,20558383.864151,0.00438497241840743,10.0,25697979.8301887,0.00548121552300929,1.9534466276004
155,Heart,T cells,0.00388436890482966,striated muscle,Others,human,55185.9640744938,1.77841519634609,199.33984553515,1.04332784880751,140.0,7726034.97042913,0.00164791408083683,250.0,13796491.0186234,0.00294270371578005,330.0,18211368.1445829,0.00388436890482966,1.78119227997992
156,Kidneys,T cells,0.0988836066770949,internal epithelial,Others,human,1495494.11914031,1.05975201750669,199.33984553515,1.04332784880751,180.0,269188941.445256,0.0574162877479906,275.0,411260882.763585,0.0877193285038745,310.0,463603176.933496,0.0988836066770949,1.07452931154256
157,Larynx,T cells,0.0613035159297178,barrier epithelial,Lungs,extrapolation,10264775.533745,1.54300632953774,199.33984553515,1.04332784880751,12.0,123177306.40494,0.0262729353984505,19.0,195030735.141156,0.0415988143808799,28.0,287413714.944861,0.0613035159297178,1.54620212269627
158,Liver,T cells,1.69536673848726,internal epithelial,Liver,human,4415839.27947783,2.0657368982681,199.33984553515,1.04332784880751,830.0,3665146601.9666,0.781752440524681,1400.0,6182174991.26896,1.31861857437898,1800.0,7948510703.06009,1.69536673848726,2.06829761835913
159,Lungs,T cells,2.56161120134892,barrier epithelial,Lungs,extrapolation,10264775.533745,1.54300632953774,199.33984553515,1.04332784880751,487.0,4998945684.93383,1.06624329492045,925.0,9494917368.71416,2.02520543696389,1170.0,12009787374.4817,2.56161120134892,1.54620212269627
160,Lymph nodes,T cells,46.4395959179535,lymphatic system,Lymph system,multiplex,967671652.968992,1.30114194987333,199.33984553515,1.04332784880751,99.0,95799493643.9302,20.4334222038995,185.0,179019255799.264,38.1836677547617,225.0,217726121918.023,46.4395959179535,1.30556715185228
161,Lymph vessels,T cells,0.0139537734047286,connective,Lymph system,human,129545.518321461,1.40615666376879,199.33984553515,1.04332784880751,221.0,28629559.549043,0.0061065028167228,415.0,53761390.1034065,0.0114669623028958,505.0,65420486.752338,0.0139537734047286,1.40985814203483
162,Ovaries,T cells,0.0,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,0.0,0.0,0.0,11.0,28267777.8132076,0.00602933707531022,0.0,0.0,0.0,1.9534466276004
163,Pancreas,T cells,0.07673701732213,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,60.0,154187878.981132,0.0328872931380557,120.0,308375757.962264,0.0657745862761115,140.0,359771717.622642,0.07673701732213,1.9534466276004
164,Parathyroid glands,T cells,9.86618794141672e-05,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,0.08,205583.83864151,4.38497241840743e-05,0.15,385469.69745283,8.22182328451393e-05,0.18,462563.636943397,9.86618794141672e-05,1.9534466276004
165,Periarticular tissue,T cells,0.0248681110183282,connective,Others,extrapolation,129545.518321461,1.40615666376879,199.33984553515,1.04332784880751,394.52,51108297.8881829,0.0109010746210565,739.73,95828706.2679346,0.0204396530706532,900.0,116590966.489315,0.0248681110183282,1.40985814203483
166,Pineal gland,T cells,9.86618794141672e-05,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,0.08,205583.83864151,4.38497241840743e-05,0.15,385469.69745283,8.22182328451393e-05,0.18,462563.636943397,9.86618794141672e-05,1.9534466276004
167,Pituitary gland,T cells,0.000328872931380557,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,0.35,899429.294056604,0.000191842543305325,0.6,1541878.78981132,0.000328872931380557,0.6,1541878.78981132,0.000328872931380557,1.9534466276004
168,Prostate gland,T cells,0.00931806638911579,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,1.6,4111676.77283019,0.000876994483681486,0.0,0.0,0.0,17.0,43686565.7113208,0.00931806638911579,1.9534466276004
169,Red marrow,T cells,4.58488227212162,marrow,Bone Marrow,human,18372338.2171317,1.99320394861309,199.33984553515,1.04332784880751,630.0,11574573076.793,2.46878276191164,900.0,16535104395.4185,3.52683251701663,1170.0,21495635714.0441,4.58488227212162,1.99580264482832
170,SI,T cells,2.80341584776256,barrier epithelial,GI,human,20251860.7336046,1.35680503222268,199.33984553515,1.04332784880751,369.0,7472936610.70012,1.5939298117479,601.0,12171368300.8964,2.59607538444576,649.0,13143457616.1094,2.80341584776256,1.36079162051348
171,Salivary glands,T cells,0.0465903319455789,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,44.0,113071111.25283,0.0241173483012409,70.0,179885858.811321,0.038368508661065,85.0,218432828.556604,0.0465903319455789,1.9534466276004
172,Skeletal Muscles,T cells,1.50646908315809,striated muscle,Others,human,247820.636513974,1.123684781597,199.33984553515,1.04332784880751,11000.0,2726027001.65372,0.581444207534701,17500.0,4336861138.99455,0.925024875623389,28500.0,7062888140.64826,1.50646908315809,1.13211500864724
173,Skin,T cells,5.65445571483941,barrier epithelial,Skin,human,8033392.23398575,1.14694401455961,199.33984553515,1.04332784880751,820.0,6587381631.86832,1.40504657156616,2300.0,18476802138.1672,3.94098428610019,3300.0,26510194372.153,5.65445571483941,1.15432093819229
174,Spinal cord,T cells,0.000633079020640779,CNS,Others,extrapolation,98937.0078896323,1.14877579529903,199.33984553515,1.04332784880751,13.0,1286181.10256522,0.000274334242277671,25.0,2473425.19724081,0.000527565850533982,30.0,2968110.23668897,0.000633079020640779,1.15608296576434
175,Spleen,T cells,24.224629944641,lymphatic system,Lymph system,multiplex,757160583.691592,1.34312369666626,199.33984553515,1.04332784880751,80.0,60572846695.3273,12.9198026371418,130.0,98430875879.9069,20.9946792853555,150.0,113574087553.739,24.224629944641,1.34720451079945
176,Stomach,T cells,0.328411692480631,barrier epithelial,GI,extrapolation,10264775.533745,1.54300632953774,199.33984553515,1.04332784880751,84.0,862241144.834583,0.183910547789153,141.0,1447333350.25805,0.308706990931793,150.0,1539716330.06176,0.328411692480631,1.54620212269627
177,Testes,T cells,0.0191842543305325,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,2.0,5139595.96603774,0.00109624310460186,0.0,0.0,0.0,35.0,89942929.4056604,0.0191842543305325,1.9534466276004
178,Thymus,T cells,6.28754974037251,lymphatic system,Lymph system,multiplex,1473918747.86828,1.2480752782075,199.33984553515,1.04332784880751,40.0,58956749914.7313,12.575099480745,25.0,36847968696.7071,7.85943717546564,20.0,29478374957.3657,6.28754974037251,1.25310604354673
179,Thyroid,T cells,0.0109624310460186,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,7.9,20301404.0658491,0.00433016026317734,17.0,43686565.7113208,0.00931806638911579,20.0,51395959.6603774,0.0109624310460186,1.9534466276004
180,Tongue,T cells,0.00182089039978058,striated muscle,Others,extrapolation,116945.37504142,2.28631319639271,199.33984553515,1.04332784880751,32.0,3742252.00132543,0.000798198531410666,60.0,7016722.50248519,0.001496622246395,73.0,8537012.37802364,0.00182089039978058,2.28879993703118
181,Tonsils,T cells,0.454901214616904,lymphatic system,Lymph system,multiplex,710915440.129448,1.51475646503608,199.33984553515,1.04332784880751,3.0,2132746320.38834,0.454901214616904,3.0,2132746320.38834,0.454901214616904,3.0,2132746320.38834,0.454901214616904,1.51803279412045
182,Trachea,T cells,0.021894112832042,barrier epithelial,Lungs,extrapolation,10264775.533745,1.54300632953774,199.33984553515,1.04332784880751,4.5,46191489.9018527,0.00985235077441892,8.0,82118204.2699603,0.0175152902656336,10.0,102647755.33745,0.021894112832042,1.54620212269627
183,Ureters,T cells,0.00876994483681486,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,7.0,17988585.8811321,0.0038368508661065,15.0,38546969.7452831,0.00822182328451393,16.0,41116767.7283019,0.00876994483681486,1.9534466276004
184,Urethra,T cells,0.00548121552300929,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,3.0,7709393.94905661,0.00164436465690279,3.0,7709393.94905661,0.00164436465690279,10.0,25697979.8301887,0.00548121552300929,1.9534466276004
185,Urinary bladder,T cells,0.0274060776150464,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,25.0,64244949.5754718,0.0137030388075232,40.0,102791919.320755,0.0219248620920371,50.0,128489899.150944,0.0274060776150464,1.9534466276004
186,Uterus,T cells,0.0,internal epithelial,Others,extrapolation,2569797.98301887,1.95082149143974,199.33984553515,1.04332784880751,0.0,0.0,0.0,80.0,205583838.64151,0.0438497241840743,0.0,0.0,0.0,1.9534466276004
187,Yellow marrow,T cells,0.045687634885787,adipose tissue,Others,extrapolation,86371.2292476367,1.68094423801266,199.33984553515,1.04332784880751,630.0,54413874.4260111,0.0116061330556636,1800.0,155468212.645746,0.0331603801590389,2480.0,214200648.534139,0.045687634885787,1.68385334660037
190,Blood,Basophils,0.0776430132571176,blood,Blood,human,34664.2598056601,1.15282251978621,380.60455664771,1.18187511804479,2616.0,90681703.6516068,0.0369298404873854,4251.0,147357768.433861,0.0600109907920012,5500.0,190653428.931131,0.0776430132571176,1.2453617409249
216,Red marrow,Basophils,0.614898733440447,marrow,Bone Marrow,human,1290505.8442373,2.42549585773474,380.60455664771,1.18187511804479,630.0,813018681.869502,0.331099318006395,900.0,1161455259.81357,0.472999025723421,1170.0,1509891837.75765,0.614898733440447,2.46367874470072
237,Blood,Eosinophils,0.304374200070973,blood,Blood,human,175555.788849974,1.21154154348166,294.609139339334,1.11070491313748,2616.0,459253943.631532,0.144771437706484,4251.0,746287658.401239,0.235253586273037,5500.0,965556838.674856,0.304374200070973,1.24450729400655
242,Colon,Eosinophils,0.0883630721616971,barrier epithelial,GI,human,757598.471314053,2.36818141479542,294.609139339334,1.11070491313748,210.0,159095678.975951,0.0501520139296119,360.0,272735449.673059,0.0859748810221918,370.0,280311434.3862,0.0883630721616971,2.38331475245511
253,Lungs,Eosinophils,0.425401728985969,barrier epithelial,Lungs,human,1153409.1594495,1.67976493976048,294.609139339334,1.11070491313748,487.0,561710260.651906,0.177068924800143,925.0,1066903472.49079,0.336321879753864,1170.0,1349488716.55591,0.425401728985969,1.69753058708072
263,Red marrow,Eosinophils,9.13619137233991,marrow,Bone Marrow,human,24771330.470281,1.62806137331731,294.609139339334,1.11070491313748,630.0,15605938196.277,4.91948766202919,900.0,22294197423.2529,7.02783951718455,1170.0,28982456650.2288,9.13619137233991,1.64636669820478
264,SI,Eosinophils,0.097314051344396,barrier epithelial,GI,human,475664.635052665,1.81817230125445,294.609139339334,1.11070491313748,369.0,175520250.334433,0.0553295607797875,601.0,285874445.666651,0.0901167101047488,649.0,308706348.149179,0.097314051344396,1.8348847386106
