tissue,mass,groups,child_10y,tot_child_10y,tot_mass_child_10y,woman,tot_woman,tot_mass_woman,man,tot_man,tot_mass_man
Pineal gland,9.86618794141672e-05,internal epithelial,0.08,205583.83864151,4.38497241840743e-05,0.15,385469.69745283,8.22182328451393e-05,0.18,462563.636943397,9.86618794141672e-05
Pituitary gland,0.0003288729313805,internal epithelial,0.35,899429.294056604,0.0001918425433053,0.6,1541878.78981132,0.0003288729313805,0.6,1541878.78981132,0.0003288729313805
Prostate gland,0.0093180663891157,internal epithelial,1.6,4111676.77283019,0.0008769944836814,0.0,0.0,0.0,17.0,43686565.7113208,0.0093180663891157
Red marrow,4.58488227212162,marrow,630.0,11574573076.793,2.46878276191164,900.0,16535104395.4185,3.52683251701663,1170.0,21495635714.0441,4.58488227212162
SI,2.80341584776256,barrier epithelial,369.0,7472936610.70012,1.5939298117479,601.0,12171368300.8964,2.59607538444576,649.0,13143457616.1094,2.80341584776256
Salivary glands,0.0465903319455789,internal epithelial,44.0,113071111.25283,0.0241173483012409,70.0,179885858.811321,0.038368508661065,85.0,218432828.556604,0.0465903319455789
Skeletal Muscles,1.50646908315809,striated muscle,11000.0,2726027001.65372,0.581444207534701,17500.0,4336861138.99455,0.925024875623389,28500.0,7062888140.64826,1.50646908315809
Skin,5.65445571483941,barrier epithelial,820.0,6587381631.86832,1.40504657156616,2300.0,18476802138.1672,3.94098428610019,3300.0,26510194372.153,5.65445571483941
Spinal cord,0.0006330790206407,CNS,13.0,1286181.10256522,0.0002743342422776,25.0,2473425.19724081,0.0005275658505339,30.0,2968110.23668897,0.0006330790206407
Spleen,24.224629944641,lymphatic system,80.0,60572846695.3273,12.9198026371418,130.0,98430875879.9069,20.9946792853555,150.0,113574087553.739,24.224629944641
Stomach,0.328411692480631,barrier epithelial,84.0,862241144.834583,0.183910547789153,141.0,1447333350.25805,0.308706990931793,150.0,1539716330.06176,0.328411692480631
Testes,0.0191842543305325,internal epithelial,2.0,5139595.96603774,0.0010962431046018,0.0,0.0,0.0,35.0,89942929.4056604,0.0191842543305325
Thymus,6.28754974037251,lymphatic system,40.0,58956749914.7313,12.575099480745,25.0,36847968696.7071,7.85943717546564,20.0,29478374957.3657,6.28754974037251
Thyroid,0.0109624310460186,internal epithelial,7.9,20301404.0658491,0.0043301602631773,17.0,43686565.7113208,0.0093180663891157,20.0,51395959.6603774,0.0109624310460186
Tongue,0.0018208903997805,striated muscle,32.0,3742252.00132543,0.0007981985314106,60.0,7016722.50248519,0.001496622246395,73.0,8537012.37802364,0.0018208903997805
Tonsils,0.454901214616904,lymphatic system,3.0,2132746320.38834,0.454901214616904,3.0,2132746320.38834,0.454901214616904,3.0,2132746320.38834,0.454901214616904
Trachea,0.021894112832042,barrier epithelial,4.5,46191489.9018527,0.0098523507744189,8.0,82118204.2699603,0.0175152902656336,10.0,102647755.33745,0.021894112832042
Ureters,0.0087699448368148,internal epithelial,7.0,17988585.8811321,0.0038368508661065,15.0,38546969.7452831,0.0082218232845139,16.0,41116767.7283019,0.0087699448368148
Urethra,0.0054812155230092,internal epithelial,3.0,7709393.94905661,0.0016443646569027,3.0,7709393.94905661,0.0016443646569027,10.0,25697979.8301887,0.0054812155230092
Urinary bladder,0.0274060776150464,internal epithelial,25.0,64244949.5754718,0.0137030388075232,40.0,102791919.320755,0.0219248620920371,50.0,128489899.150944,0.0274060776150464
Uterus,0.0,internal epithelial,0.0,0.0,0.0,80.0,205583838.64151,0.0438497241840743,0.0,0.0,0.0
Yellow marrow,0.045687634885787,adipose tissue,630.0,54413874.4260111,0.0116061330556636,1800.0,155468212.645746,0.0331603801590389,2480.0,214200648.534139,0.045687634885787
